0,2
83,1541
1568,1586
0,1458
1539,5913
12474,12960
0,81
83,92
98,827
0,81
83,92
98,827
0,81
83,92
98,827
0,162
163,217
460,4834
4837,17959
0,486
567,573
582,584
0,18
99,153
154,160
0,2
83,569
578,632
0,486
567,585
7146,11520
0,81
567,576
630,1359
0,486
567,585
7146,11520
0,81
567,576
630,1359
0,486
567,585
7146,11520
0,81
567,576
630,1359
0,486
567,585
7146,11520
0,81
567,576
630,1359
0,13122
13203,13221
13464,17838
0,81
13203,13932
18306,18315
0,13122
13203,13221
13464,17838
0,81
13203,13932
18306,18315
0,13122
13203,13221
13464,17838
0,81
13203,13932
18306,18315
0,13122
13203,13221
13464,17838
0,81
13203,13932
18306,18315
0,13122
13203,13221
13464,17838
0,81
13203,13932
18306,18315
0,13122
13203,13221
13464,17838
0,81
13203,13932
18306,18315
0,13122
13203,13221
13464,17838
0,81
13203,13932
18306,18315
0,13122
13203,13221
13464,17838
0,81
13203,13932
18306,18315
0,13122
13203,13221
13464,17838
0,81
13203,13932
18306,18315
0,13122
13203,13221
13464,17838
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
1539,1540
5914,12475
0,162
163,13285
13294,13348
0,81
99,100
4474,11035
0,162
163,13285
13294,13348
0,81
99,100
4474,11035
0,162
163,13285
13294,13348
0,81
99,100
4474,11035
0,162
163,13285
13294,13348
0,81
99,100
4474,11035
0,162
163,13285
13294,13348
0,81
99,100
4474,11035
0,162
163,13285
13294,13348
0,81
99,100
4474,11035
0,162
163,13285
13294,13348
0,81
99,100
4474,11035
0,162
163,13285
13294,13348
0,81
99,100
4474,11035
0,162
163,13285
13294,13348
0,81
99,100
4474,11035
0,162
163,13285
13294,13348
0,81
99,100
4474,11035
0,162
163,13285
13294,13348
0,81
99,100
4474,11035
0,1
13123,13132
13186,13267
14725,14728
